name,n_src,valids_src,missings_src,distinct_src,n_tar,valids_tar,missings_tar,distinct_tar,check_conf_source,check_conf_target,check_etl_distincts,check_etl_valids,check_etl_missings
Age in years,,,,,,,,,failed,failed,,,
Amount of credit,23,10,13,10,23,10,13,10,passed,passed,passed,passed,passed
Birthdate,23,23,0,16,23,23,0,16,passed,passed,passed,passed,passed
Credit worthy?,23,23,0,2,23,23,0,2,passed,passed,passed,passed,passed
Current bank balance,23,23,0,22,23,23,0,22,failed,failed,passed,passed,passed
Date of contact,23,23,0,23,23,23,0,23,passed,passed,passed,passed,passed
Forename,23,23,0,16,23,23,0,16,,,passed,passed,passed
Income,23,23,0,23,23,23,0,23,passed,failed,passed,passed,passed
Job,,,,,,,,,,,,,
Name,23,23,0,16,23,23,0,16,,,passed,passed,passed
Person ID,23,23,0,16,23,23,0,16,,,passed,passed,passed
Sex,23,23,0,2,23,23,0,3,passed,failed,failed,passed,passed
pl.atemporal.item01,2,2,0,1,4,4,0,2,passed,failed,,,
